eventName,date,city,country,deviceCategory,browser,sessionSourceMedium,pagePath,eventCount,userEngagementDuration,engagedSessions,screenPageViews
page_view,20250418,New York,United States,mobile,Safari (in-app),(direct) / (none),/app_old/,1,0,1,1
page_view,20250418,San Francisco,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,1,1
page_view,20250418,Vancouver,Canada,desktop,Safari,(direct) / (none),/app_old/,1,0,1,1
page_view,20250418,Windsor,United States,desktop,Safari,(direct) / (none),/app_old/,1,0,1,1
page_view,20250419,Ashburn,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,0,1
page_view,20250419,Vancouver,Canada,desktop,Chrome,(direct) / (none),/app_old/,1,0,1,1
page_view,20250419,Vancouver,Canada,mobile,Safari (in-app),(direct) / (none),/app_old/,1,0,1,1
page_view,20250422,New York,United States,mobile,Safari,(direct) / (none),/app_old/,1,0,0,1
scroll,20250415,(not set),(not set),mobile,Chrome,(direct) / (none),/app_old/,1,0,1,0
scroll,20250415,Boston,United States,desktop,Safari,(direct) / (none),/app_old/,1,3,1,0
scroll,20250415,Los Angeles,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,0,0
scroll,20250415,New York,United States,desktop,Chrome,(direct) / (none),/5243project2/,1,3,1,0
scroll,20250415,New York,United States,desktop,Chrome,mail.google.com / referral,/app_old/,1,6,1,0
scroll,20250415,New York,United States,desktop,Safari,(direct) / (none),/app_old/,1,3,1,0
scroll,20250415,New York,United States,mobile,Chrome,(direct) / (none),/app_old/,1,2,1,0
scroll,20250415,New York,United States,mobile,Safari,(direct) / (none),/5243project2/,1,2,0,0
scroll,20250415,New York,United States,mobile,Safari,(direct) / (none),/app_old/,1,11,1,0
scroll,20250415,Washington,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,0,0
scroll,20250416,Independence,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,1,0
scroll,20250416,New York,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,1,0
scroll,20250416,New York,United States,desktop,Edge,(direct) / (none),/app_old/,1,1,1,0
scroll,20250416,Richmond,Canada,mobile,Safari (in-app),(direct) / (none),/app_old/,1,0,1,0
scroll,20250417,New York,United States,mobile,Chrome,(direct) / (none),/app_old/,1,16,1,0
scroll,20250418,Gunnison,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,0,0
scroll,20250418,New York,United States,mobile,Safari (in-app),(direct) / (none),/app_old/,1,0,1,0
scroll,20250418,San Francisco,United States,desktop,Chrome,(direct) / (none),/app_old/,1,4,1,0
scroll,20250418,Vancouver,Canada,desktop,Safari,(direct) / (none),/app_old/,1,6,1,0
scroll,20250419,Toronto,Canada,mobile,Safari (in-app),(direct) / (none),/app_old/,1,6,1,0
scroll,20250419,Vancouver,Canada,desktop,Chrome,(direct) / (none),/app_old/,1,6,1,0
scroll,20250419,Vancouver,Canada,mobile,Safari (in-app),(direct) / (none),/app_old/,1,0,1,0
session_start,20250411,Fort Lee,United States,desktop,Chrome,(direct) / (none),/,1,0,0,0
session_start,20250414,New York,United States,desktop,Chrome,(direct) / (none),/,1,0,0,0
session_start,20250414,New York,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,1,0
session_start,20250415,(not set),(not set),mobile,Chrome,(direct) / (none),/app_old/,1,0,1,0
session_start,20250415,Ashburn,United States,desktop,Safari,(direct) / (none),/app_old/,1,0,0,0
session_start,20250415,Ashburn,United States,tablet,Chrome,(direct) / (none),/app_old/,1,0,0,0
session_start,20250415,Boston,United States,desktop,Safari,(direct) / (none),/app_old/,1,0,1,0
session_start,20250415,Los Angeles,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,0,0
session_start,20250415,New York,United States,desktop,Chrome,(direct) / (none),/5243project2/,1,0,1,0
session_start,20250415,New York,United States,desktop,Chrome,mail.google.com / referral,/app_old/,1,0,1,0
session_start,20250415,New York,United States,desktop,Safari,(direct) / (none),/app_old/,1,0,1,0
session_start,20250415,New York,United States,mobile,Safari,(direct) / (none),/5243project2/,1,0,0,0
session_start,20250415,New York,United States,mobile,Safari,(direct) / (none),/app_old/,1,0,1,0
session_start,20250415,Ridgefield,United States,tablet,Chrome,(direct) / (none),/app_old/,1,0,1,0
session_start,20250415,Washington,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,0,0
session_start,20250416,Ashburn,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,0,0
session_start,20250416,Ashburn,United States,desktop,Edge,(direct) / (none),/app_old/,1,0,0,0
session_start,20250416,Independence,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,1,0
session_start,20250416,New York,United States,desktop,Chrome,mail.google.com / referral,/app_old/,1,0,0,0
session_start,20250416,New York,United States,desktop,Edge,(direct) / (none),/app_old/,1,0,1,0
session_start,20250416,Richmond,Canada,mobile,Safari (in-app),(direct) / (none),/app_old/,1,0,1,0
session_start,20250416,Ridgefield,United States,tablet,Chrome,(direct) / (none),/app_old/,1,0,0,0
session_start,20250417,Ashburn,United States,mobile,Chrome,(direct) / (none),/app_old/,1,0,0,0
session_start,20250417,New York,United States,mobile,Chrome,(direct) / (none),/app_old/,1,0,1,0
session_start,20250418,Ashburn,United States,desktop,Safari,(direct) / (none),/app_old/,1,0,0,0
session_start,20250418,Gunnison,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,0,0
session_start,20250418,New York,United States,mobile,Safari (in-app),(direct) / (none),/app_old/,1,0,1,0
session_start,20250418,San Francisco,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,1,0
session_start,20250418,Vancouver,Canada,desktop,Safari,(direct) / (none),/app_old/,1,0,1,0
session_start,20250418,Windsor,United States,desktop,Safari,(direct) / (none),/app_old/,1,0,1,0
session_start,20250419,Ashburn,United States,desktop,Chrome,(direct) / (none),/app_old/,1,0,0,0
session_start,20250419,Toronto,Canada,mobile,Safari (in-app),(direct) / (none),/app_old/,1,0,1,0
session_start,20250419,Vancouver,Canada,desktop,Chrome,(direct) / (none),/app_old/,1,0,1,0
session_start,20250419,Vancouver,Canada,desktop,Safari,(direct) / (none),/app_old/,1,0,0,0
session_start,20250419,Vancouver,Canada,mobile,Safari (in-app),(direct) / (none),/app_old/,1,0,1,0
session_start,20250422,New York,United States,mobile,Safari,(direct) / (none),/app_old/,1,0,0,0
user_engagement,20250411,Fort Lee,United States,desktop,Chrome,(direct) / (none),/,1,2,0,0
user_engagement,20250415,Ridgefield,United States,tablet,Chrome,(direct) / (none),/app_old/,1,3,1,0
user_engagement,20250416,Ridgefield,United States,tablet,Chrome,(direct) / (none),/app_old/,1,0,0,0
